Subject,Block_number,Trial_number,Abs_ref_stim,Resp_Correct,RT,out,angle,same
103,3,24,14,t,1883,nil,150,t
103,3,25,3,t,2015,nil,100,t
103,3,26,6,t,3201,nil,50,nil
103,3,27,8,t,2017,nil,50,t
103,3,28,2,t,1283,nil,50,t
103,3,29,4,t,489,nil,0,t
103,3,30,2,t,1664,nil,100,nil
103,3,31,14,t,1844,nil,150,nil
103,3,32,15,t,1142,nil,0,t
103,3,33,7,t,587,nil,0,t
103,3,34,3,t,3478,nil,50,t
103,3,35,3,t,513,nil,0,t
103,3,36,13,t,3924,nil,150,nil
103,3,37,8,t,2608,nil,150,nil
103,3,38,2,t,1540,nil,0,nil
103,3,39,6,t,5953,t,100,nil
103,3,40,5,t,2163,nil,150,t
103,3,41,12,t,1483,nil,150,nil
103,3,42,1,t,2151,nil,50,t
103,3,43,8,nil,5592,t,150,t
103,3,44,13,t,1932,nil,50,t
103,3,45,4,t,4848,nil,150,nil
103,3,46,8,t,1904,nil,50,nil
103,3,47,15,t,5946,t,0,nil
103,3,48,12,t,983,nil,50,nil
103,3,49,11,t,727,nil,0,nil
103,3,50,6,t,3313,nil,150,t
103,3,51,1,t,980,nil,0,t
103,3,52,14,t,556,nil,0,t
103,3,53,9,t,2077,nil,50,nil
103,3,54,15,t,1743,nil,50,t
103,3,55,11,t,947,nil,50,nil
103,3,56,8,t,3020,nil,100,nil
103,3,57,5,t,1075,nil,50,t
103,3,58,4,t,1338,nil,100,t
103,3,59,4,t,2300,nil,100,nil
103,3,60,6,t,2158,nil,50,t
103,3,61,7,t,1392,nil,50,t
103,3,62,12,t,1731,nil,150,t
103,3,63,2,t,1640,nil,150,nil
103,3,64,9,t,1416,nil,100,nil
103,3,65,4,t,981,nil,0,nil
103,3,66,10,t,2468,nil,100,nil
103,3,67,10,t,1216,nil,0,nil
103,3,68,8,t,1104,nil,0,t
103,3,69,11,t,2577,t,150,t
103,3,70,7,t,798,nil,0,nil
103,3,71,5,t,2010,nil,100,nil
103,3,72,8,t,7067,t,100,t
103,3,73,14,t,1229,nil,50,nil
103,3,74,15,t,3462,nil,100,t
103,3,75,11,t,1461,nil,150,nil
103,3,76,6,t,858,nil,0,t
103,3,77,12,t,966,nil,100,t
103,3,78,11,t,1046,nil,100,nil
103,3,79,1,nil,1784,t,150,t
103,3,80,3,t,2007,nil,50,nil
103,3,81,13,t,1611,nil,150,t
103,3,82,15,t,2545,nil,150,t
103,3,83,15,t,1086,nil,150,nil
103,3,84,16,t,2235,nil,150,nil
103,3,85,16,t,2020,nil,100,nil
103,3,86,7,t,1174,nil,50,nil
103,3,87,1,t,2381,nil,100,nil
103,3,88,10,t,1304,nil,100,t
103,3,89,13,t,2219,nil,100,nil
103,3,90,3,t,2499,nil,100,nil
103,3,91,5,t,4208,t,0,nil
103,3,92,16,t,939,nil,0,t
103,3,93,7,t,1602,nil,100,t
103,3,94,14,t,1701,nil,100,t
103,3,95,12,t,453,nil,0,t
103,3,96,9,t,1870,nil,150,t
103,3,97,4,t,1743,nil,50,nil
103,3,98,1,t,1241,nil,0,nil
103,3,99,11,t,519,nil,0,t
103,3,100,10,t,1078,nil,50,nil
